CIFAR-10
BIM, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,0.5598,79.1898,90,20.0,0.01,False
l2,0.5781,79.7122,450,20.0,0.002,False
l2,0.5799,69.7655,5,20.0,0.2,False
l2,0.5825,81.6738,50,20.0,0.02,False
l2,0.5865,60.5544,3,20.0,0.3,False
l2,0.5977,51.5032,2,20.0,0.4,False
l2,0.6004,82.1002,100,20.0,0.01,False
l2,0.6235,82.4307,500,20.0,0.002,False
l2,0.6291,84.8614,30,20.0,0.04,False
l2,0.6376,85.4371,40,20.0,0.03,False
l2,0.6470,75.4904,6,20.0,0.2,False
l2,0.6507,85.8316,60,20.0,0.02,False
l2,0.6943,69.4030,4,20.0,0.3,False
l2,0.7076,79.8934,7,20.0,0.2,False
l2,0.7078,86.4712,600,20.0,0.002,False
l2,0.7078,86.4712,600,20.0,0.002,False
l2,0.7118,89.1684,70,20.0,0.02,False
l2,0.7233,90.0853,50,20.0,0.03,False
l2,0.7387,91.0235,40,20.0,0.04,False
l2,0.7498,64.1684,3,20.0,0.4,False
l2,0.7630,83.6354,8,20.0,0.2,False
l2,0.7669,91.7697,80,20.0,0.02,False
l2,0.7847,89.8721,700,20.0,0.002,False
l2,0.7890,76.5245,5,20.0,0.3,False
l2,0.7971,93.3156,60,20.0,0.03,False
l2,0.7973,38.1237,1,20.0,0.8,False
l2,0.8144,86.4819,9,20.0,0.2,False
l2,0.8164,93.6034,90,20.0,0.02,False
l2,0.8181,92.6866,20,20.0,0.1,False
l2,0.8205,91.1514,750,20.0,0.002,False
l2,0.8281,94.4456,50,20.0,0.04,False
l2,0.8550,92.3987,800,20.0,0.002,False
l2,0.8601,95.1919,70,20.0,0.03,False
l2,0.8608,94.8614,100,20.0,0.02,False
l2,0.8612,88.7207,10,20.0,0.2,False
l2,0.8734,81.7804,6,20.0,0.3,False
l2,0.8816,73.4542,4,20.0,0.4,False
l2,0.9027,96.3433,60,20.0,0.04,False
l2,0.9031,95.0320,200,20.0,0.01,False
l2,0.9164,96.5458,80,20.0,0.03,False
l2,0.9190,94.0832,900,20.0,0.002,False
l2,0.9505,86.0448,7,20.0,0.3,False
l2,0.9656,97.2708,90,20.0,0.03,False
l2,0.9663,97.3454,70,20.0,0.04,False
l2,0.9776,95.2772,1000,20.0,0.002,False
l2,0.9864,96.8550,30,20.0,0.1,False
l2,0.9969,80.2239,5,20.0,0.4,False
l2,1.0105,97.7932,100,20.0,0.03,False
l2,1.0189,88.9126,8,20.0,0.3,False
l2,1.0216,97.8678,80,20.0,0.04,False
l2,1.0382,97.8571,150,20.0,0.02,False
l2,1.0711,98.1343,90,20.0,0.04,False
l2,1.0824,97.0256,1200,20.0,0.002,False
l2,1.0830,91.3966,9,20.0,0.3,False
l2,1.0979,97.9318,300,20.0,0.01,False
l2,1.0998,85.5011,6,20.0,0.4,False
