CIFAR-10
PGD, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,0.3000,74.3923,1000,0.3,0.002,False
l2,0.3000,72.9104,800,0.3,0.002,False
l2,0.3000,70.6183,600,0.3,0.002,False
l2,0.3000,75.2026,1200,0.3,0.002,False
l2,0.3000,78.0171,400,0.3,0.02,False
l2,0.3000,78.4009,600,0.3,0.02,False
l2,0.3000,78.5501,800,0.3,0.02,False
l2,0.3000,78.5928,1000,0.3,0.02,False
l2,0.3000,78.7420,1600,0.3,0.02,False
l2,0.3100,79.1045,400,0.31,0.02,False
l2,0.3100,79.4350,600,0.31,0.02,False
l2,0.3100,79.6055,800,0.31,0.02,False
l2,0.3200,80.0107,400,0.32,0.02,False
l2,0.3200,80.4478,600,0.32,0.02,False
l2,0.3200,80.6823,800,0.32,0.02,False
l2,0.3300,80.8955,400,0.33,0.02,False
l2,0.3300,81.5139,600,0.33,0.02,False
l2,0.3300,81.7484,800,0.33,0.02,False
l2,0.3400,81.9936,400,0.34,0.02,False
l2,0.3400,82.4414,600,0.34,0.02,False
l2,0.3400,82.6013,800,0.34,0.02,False
l2,0.3500,55.7356,200,0.35,0.002,False
l2,0.3500,78.5075,1000,0.35,0.002,False
l2,0.3500,82.8891,400,0.35,0.02,False
l2,0.3500,83.2729,600,0.35,0.02,False
l2,0.3500,83.4542,800,0.35,0.02,False
l2,0.3500,83.5714,1000,0.35,0.02,False
l2,0.3600,83.8806,400,0.36,0.02,False
l2,0.3600,84.2217,600,0.36,0.02,False
l2,0.3600,84.4030,800,0.36,0.02,False
l2,0.3700,84.5629,400,0.37,0.02,False
l2,0.3700,84.8934,600,0.37,0.02,False
l2,0.3700,85.1279,800,0.37,0.02,False
l2,0.3800,85.1493,400,0.38,0.02,False
l2,0.3800,85.7889,600,0.38,0.02,False
l2,0.3800,85.9382,800,0.38,0.02,False
l2,0.3900,85.8209,400,0.39,0.02,False
l2,0.3900,86.3646,600,0.39,0.02,False
l2,0.3900,86.5991,800,0.39,0.02,False
l2,0.4000,56.7697,200,0.4,0.002,False
l2,0.4000,81.5672,1000,0.4,0.002,False
l2,0.4000,79.9360,800,0.4,0.002,False
l2,0.4000,76.9829,600,0.4,0.002,False
l2,0.4000,82.7825,1200,0.4,0.002,False
l2,0.4000,86.4499,400,0.4,0.02,False
l2,0.4000,87.1002,600,0.4,0.02,False
l2,0.4000,87.3561,800,0.4,0.02,False
l2,0.4000,87.4627,1000,0.4,0.02,False
l2,0.4000,87.4627,1000,0.4,0.02,False
l2,0.4100,87.1642,400,0.41,0.02,False
l2,0.4100,87.7932,600,0.41,0.02,False
l2,0.4200,87.7719,400,0.42,0.02,False
l2,0.4200,88.3262,600,0.42,0.02,False
l2,0.4300,88.3156,400,0.43,0.02,False
l2,0.4300,88.9232,600,0.43,0.02,False
l2,0.4400,88.8273,400,0.44,0.02,False
l2,0.4400,89.4776,600,0.44,0.02,False
l2,0.4500,57.4094,200,0.45,0.002,False
l2,0.4500,84.1045,1000,0.45,0.002,False
l2,0.4500,89.4136,400,0.45,0.02,False
l2,0.4500,90.0426,600,0.45,0.02,False
l2,0.4500,90.6183,1600,0.45,0.02,False
