ImageNet, 1000
BIM, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,237.1019,98.7483,110,50.0,0.05,False
l2,238.9196,98.7483,111,50.0,0.05,False
l2,239.5080,98.7483,1100,50.0,0.005,False
l2,240.7919,98.7483,112,50.0,0.05,False
l2,242.5517,98.7483,113,50.0,0.05,False
l2,244.3546,98.7483,114,50.0,0.05,False
l2,246.1835,98.7483,115,50.0,0.05,False
l2,247.9774,98.7483,116,50.0,0.05,False
l2,249.7494,98.7483,117,50.0,0.05,False
l2,251.5345,98.7483,118,50.0,0.05,False
l2,253.3397,98.7483,119,50.0,0.05,False
l2,255.1286,98.7483,120,50.0,0.05,False
l2,256.9040,98.7483,121,50.0,0.05,False
l2,258.0486,98.7483,1200,50.0,0.005,False
l2,258.6870,98.7483,122,50.0,0.05,False
l2,260.4947,98.7483,123,50.0,0.05,False
l2,262.2371,98.8873,124,50.0,0.05,False
l2,264.0406,98.8873,125,50.0,0.05,False
l2,265.7794,98.8873,126,50.0,0.05,False
l2,267.5761,98.8873,127,50.0,0.05,False
l2,269.3244,98.8873,128,50.0,0.05,False
l2,271.1153,98.8873,129,50.0,0.05,False
l2,272.8679,98.8873,130,50.0,0.05,False
l2,274.6625,98.8873,131,50.0,0.05,False
l2,276.3952,98.8873,132,50.0,0.05,False
l2,276.3996,98.8873,1300,50.0,0.005,False
l2,278.1346,98.8873,133,50.0,0.05,False
l2,279.8942,98.8873,134,50.0,0.05,False
l2,281.6642,98.8873,135,50.0,0.05,False
l2,283.4732,98.8873,136,50.0,0.05,False
l2,285.1650,98.8873,137,50.0,0.05,False
l2,286.9119,98.8873,138,50.0,0.05,False
l2,288.6265,98.8873,139,50.0,0.05,False
l2,290.3836,98.8873,140,50.0,0.05,False
l2,292.0936,98.8873,141,50.0,0.05,False
l2,293.8735,98.8873,142,50.0,0.05,False
l2,294.5563,98.8873,1400,50.0,0.005,False
l2,295.5923,98.8873,143,50.0,0.05,False
l2,297.3024,98.8873,144,50.0,0.05,False
l2,299.0354,98.8873,145,50.0,0.05,False
l2,300.8418,98.8873,146,50.0,0.05,False
l2,302.4723,98.8873,147,50.0,0.05,False
l2,304.2045,98.8873,148,50.0,0.05,False
l2,305.9635,98.8873,149,50.0,0.05,False
l2,307.6834,98.8873,150,50.0,0.05,False
l2,309.4133,98.8873,151,50.0,0.05,False
l2,311.1029,98.8873,152,50.0,0.05,False
l2,312.5955,98.8873,1500,50.0,0.005,False
l2,312.8576,98.8873,153,50.0,0.05,False
l2,314.5471,98.8873,154,50.0,0.05,False
l2,316.1927,98.8873,155,50.0,0.05,False
l2,317.9803,98.8873,156,50.0,0.05,False
l2,319.6412,98.8873,157,50.0,0.05,False
l2,321.3724,98.8873,158,50.0,0.05,False
l2,323.0453,98.8873,159,50.0,0.05,False
l2,324.8143,98.8873,160,50.0,0.05,False
l2,326.5028,98.8873,161,50.0,0.05,False
l2,328.1654,98.8873,162,50.0,0.05,False
l2,329.9461,99.0264,163,50.0,0.05,False
l2,330.4341,98.8873,1600,50.0,0.005,False
l2,331.6300,99.0264,164,50.0,0.05,False
l2,333.3112,99.0264,165,50.0,0.05,False
l2,335.0089,99.0264,166,50.0,0.05,False
l2,336.7460,99.0264,167,50.0,0.05,False
l2,338.4653,99.0264,168,50.0,0.05,False
l2,340.0282,99.0264,169,50.0,0.05,False
l2,341.7140,99.0264,170,50.0,0.05,False
l2,343.4272,99.0264,171,50.0,0.05,False
l2,345.1191,99.0264,172,50.0,0.05,False
l2,346.7246,99.0264,173,50.0,0.05,False
l2,348.2680,99.0264,1700,50.0,0.005,False
l2,348.4756,99.0264,174,50.0,0.05,False
l2,350.1283,99.0264,175,50.0,0.05,False
l2,351.7900,99.0264,176,50.0,0.05,False
l2,353.5369,99.0264,177,50.0,0.05,False
l2,355.1291,99.0264,178,50.0,0.05,False
l2,356.7739,99.0264,179,50.0,0.05,False
l2,358.5124,99.0264,180,50.0,0.05,False
l2,360.1185,99.0264,181,50.0,0.05,False
l2,361.8177,99.0264,182,50.0,0.05,False
l2,363.4886,99.0264,183,50.0,0.05,False
l2,365.0999,99.0264,184,50.0,0.05,False
l2,365.9085,99.0264,1800,50.0,0.005,False
l2,366.8208,99.0264,185,50.0,0.05,False
l2,368.4193,99.0264,186,50.0,0.05,False
l2,370.0979,99.0264,187,50.0,0.05,False
l2,371.7892,99.0264,188,50.0,0.05,False
l2,373.4014,99.0264,189,50.0,0.05,False
l2,375.0481,99.0264,190,50.0,0.05,False
l2,376.7070,99.0264,191,50.0,0.05,False
l2,378.3492,99.0264,192,50.0,0.05,False
l2,379.9423,99.0264,193,50.0,0.05,False
l2,381.5287,99.0264,194,50.0,0.05,False
l2,383.1734,99.0264,195,50.0,0.05,False
l2,384.8491,99.0264,196,50.0,0.05,False
l2,386.4764,99.0264,197,50.0,0.05,False
l2,388.1468,99.0264,198,50.0,0.05,False
l2,389.6806,99.0264,199,50.0,0.05,False
