MNIST
PGD, untargeted
dist, l2, asr, nb_iter, eps, eps_iter, target
l2,1.6000,59.2034,1600,1.6,0.02,False
l2,1.6000,8.1674,400,1.6,0.002,False
l2,1.6000,17.3808,600,1.6,0.002,False
l2,1.6000,27.7409,800,1.6,0.002,False
l2,1.6000,59.2436,400,1.6,0.2,False
l2,1.6000,59.2336,600,1.6,0.2,False
l2,1.6000,59.2336,800,1.6,0.2,False
l2,1.6000,59.2336,1000,1.6,0.2,False
l2,1.6500,63.2971,1600,1.65,0.02,False
l2,1.7000,65.6508,400,1.7,0.02,False
l2,1.7000,66.8578,800,1.7,0.02,False
l2,1.7000,66.9785,1000,1.7,0.02,False
l2,1.7000,67.0690,1200,1.7,0.02,False
l2,1.7000,67.1495,1600,1.7,0.02,False
l2,1.8000,66.8880,200,1.8,0.02,False
l2,1.8000,72.7520,400,1.8,0.02,False
l2,1.8000,73.5767,600,1.8,0.02,False
l2,1.8000,73.8886,800,1.8,0.02,False
l2,1.8000,74.0294,1000,1.8,0.02,False
l2,1.8000,74.0595,1200,1.8,0.02,False
l2,1.8000,74.1098,1600,1.8,0.02,False
l2,1.9000,78.5858,400,1.9,0.02,False
l2,1.9000,79.7526,800,1.9,0.02,False
l2,1.9000,79.9034,1000,1.9,0.02,False
l2,1.9000,79.9537,1200,1.9,0.02,False
l2,1.9000,80.0141,1600,1.9,0.02,False
l2,1.9500,82.2873,1600,1.95,0.02,False
l2,2.0000,77.5096,200,2.0,0.02,False
l2,2.0000,83.1120,400,2.0,0.02,False
l2,2.0000,83.8765,600,2.0,0.02,False
l2,2.0000,84.1682,800,2.0,0.02,False
l2,2.0000,84.3191,1000,2.0,0.02,False
l2,2.0000,84.3895,1200,2.0,0.02,False
l2,2.0000,84.4800,1600,2.0,0.02,False
l2,2.0000,50.2716,1000,2.0,0.002,False
l2,2.1000,86.6928,400,2.1,0.02,False
l2,2.1000,87.5780,600,2.1,0.02,False
l2,2.1000,87.8696,800,2.1,0.02,False
l2,2.1000,88.0004,1000,2.1,0.02,False
l2,2.1000,88.0708,1200,2.1,0.02,False
l2,2.1000,88.2116,1600,2.1,0.02,False
l2,2.1000,10.4506,400,2.1,0.002,False
l2,2.1000,24.5323,600,2.1,0.002,False
l2,2.1000,39.6299,800,2.1,0.002,False
l2,2.1000,88.2619,400,2.1,0.2,False
l2,2.1000,88.2619,600,2.1,0.2,False
l2,2.1000,88.2720,800,2.1,0.2,False
l2,2.1000,88.2720,1000,2.1,0.2,False
l2,2.2000,84.2185,200,2.2,0.02,False
l2,2.2000,89.8511,400,2.2,0.02,False
l2,2.2000,90.8369,600,2.2,0.02,False
l2,2.2000,91.1386,800,2.2,0.02,False
l2,2.2000,91.2794,1000,2.2,0.02,False
l2,2.2000,91.3498,1200,2.2,0.02,False
l2,2.2000,91.4102,1600,2.2,0.02,False
l2,2.2500,92.5367,1600,2.25,0.02,False
l2,2.3000,92.2148,400,2.3,0.02,False
l2,2.3000,93.3615,800,2.3,0.02,False
l2,2.3000,93.4923,1000,2.3,0.02,False
l2,2.3000,93.5828,1200,2.3,0.02,False
l2,2.3000,93.6331,1600,2.3,0.02,False
l2,2.4000,89.1772,200,2.4,0.02,False
l2,2.4000,94.3170,400,2.4,0.02,False
l2,2.4000,94.9909,600,2.4,0.02,False
l2,2.4000,95.2424,800,2.4,0.02,False
l2,2.4000,95.4033,1000,2.4,0.02,False
l2,2.4000,95.4939,1200,2.4,0.02,False
l2,2.4000,95.5341,1600,2.4,0.02,False
l2,2.5000,91.0883,200,2.5,0.02,False
l2,2.5000,95.9465,400,2.5,0.02,False
l2,2.5000,96.7310,800,2.5,0.02,False
l2,2.5000,96.8417,1000,2.5,0.02,False
l2,2.5000,96.8819,1200,2.5,0.02,False
l2,2.5000,96.9121,1600,2.5,0.02,False
l2,2.5000,65.6005,1000,2.5,0.002,False
l2,2.5500,97.4955,1600,2.55,0.02,False
l2,2.6000,92.7882,200,2.6,0.02,False
l2,2.6000,97.1233,400,2.6,0.02,False
l2,2.6000,97.6665,600,2.6,0.02,False
l2,2.6000,97.7771,800,2.6,0.02,False
l2,2.6000,97.8475,1000,2.6,0.02,False
l2,2.6000,97.8877,1200,2.6,0.02,False
l2,2.6000,97.9079,1600,2.6,0.02,False
l2,2.6000,13.0457,400,2.6,0.002,False
l2,2.6000,30.6377,600,2.6,0.002,False
l2,2.6000,51.1165,800,2.6,0.002,False
l2,2.6000,97.9481,400,2.6,0.2,False
l2,2.6000,97.9481,600,2.6,0.2,False
l2,2.6000,97.9481,800,2.6,0.2,False
l2,2.6000,97.9481,1000,2.6,0.2,False
l2,2.7000,97.9883,400,2.7,0.02,False
l2,2.7000,98.5114,800,2.7,0.02,False
l2,2.7000,98.5415,1000,2.7,0.02,False
l2,2.7000,98.5818,1200,2.7,0.02,False
l2,2.7000,98.6321,1600,2.7,0.02,False
l2,2.8000,95.1519,200,2.8,0.02,False
l2,2.8000,98.5617,400,2.8,0.02,False
l2,2.8000,98.9539,600,2.8,0.02,False
l2,2.8000,99.0243,800,2.8,0.02,False
l2,2.8000,99.0746,1000,2.8,0.02,False
l2,2.8000,99.0947,1200,2.8,0.02,False
l2,2.8000,99.1149,1600,2.8,0.02,False
l2,2.8500,99.3462,1600,2.85,0.02,False
l2,2.9000,99.1450,400,2.9,0.02,False
l2,2.9000,99.3764,800,2.9,0.02,False
l2,2.9000,99.4066,1000,2.9,0.02,False
l2,2.9000,99.4770,1200,2.9,0.02,False
l2,2.9000,99.5071,1600,2.9,0.02,False
l2,3.0000,96.9825,200,3.0,0.02,False
l2,3.0000,99.3965,400,3.0,0.02,False
l2,3.0000,99.6278,600,3.0,0.02,False
l2,3.0000,99.6781,800,3.0,0.02,False
