MNIST
FGSM, untargeted
dist, l2, asr, eps, target
l2,1.3279,0.6844,0.0635,True
l2,1.3383,0.6844,0.064,True
l2,1.3494,0.6954,0.0645,True
l2,1.3597,0.6954,0.065,True
l2,1.4649,0.8279,0.07,True
l2,1.4855,0.8500,0.071,True
l2,1.4955,0.8610,0.0715,True
l2,1.5058,0.8721,0.072,True
l2,1.5683,0.9604,0.075,True
l2,1.6106,1.0266,0.077,True
l2,1.6309,1.0597,0.078,True
l2,1.6521,1.0928,0.079,True
l2,1.6740,1.1149,0.08,True
l2,1.7786,1.2915,0.085,True
l2,1.7991,1.3136,0.086,True
l2,1.8205,1.3357,0.087,True
l2,1.8435,1.3909,0.088,True
l2,1.8851,1.5565,0.09,True
l2,1.9252,1.6117,0.092,True
l2,1.9465,1.6889,0.093,True
l2,1.9889,1.8655,0.095,True
l2,2.0528,1.9980,0.098,True
l2,2.0956,2.1194,0.1,True
l2,2.1988,2.4616,0.105,True
l2,2.2411,2.5279,0.107,True
l2,2.3041,2.6935,0.11,True
l2,2.3681,3.0357,0.113,True
l2,2.3890,3.1019,0.114,True
l2,2.4102,3.2233,0.115,True
l2,2.5172,3.6869,0.12,True
l2,2.5172,3.6869,0.12,True
l2,2.5396,3.7863,0.121,True
l2,2.5602,3.8304,0.122,True
l2,2.5816,3.8746,0.123,True
l2,2.6237,4.0954,0.125,True
l2,2.6871,4.3382,0.128,True
l2,2.7048,4.3934,0.1288,True
l2,2.7093,4.4155,0.129,True
l2,2.7301,4.4265,0.13,True
l2,2.8381,5.0226,0.135,True
l2,2.8487,5.0668,0.1355,True
l2,2.8591,5.1109,0.136,True
l2,2.9417,5.5635,0.14,True
l2,2.9417,5.5635,0.14,True
l2,2.9853,5.7512,0.142,True
l2,3.0480,6.0492,0.145,True
l2,3.1538,6.6343,0.15,True
l2,3.3674,8.1687,0.16,True
l2,3.7969,11.5796,0.18,True
l2,4.2313,16.2711,0.2,True
l2,4.6666,21.3489,0.22,True
l2,5.0991,25.9300,0.24,True
l2,5.5345,30.6877,0.26,True
l2,5.9681,35.0039,0.28,True
l2,6.3956,37.5428,0.3,True
l2,6.8232,39.3531,0.32,True
l2,7.2477,40.4018,0.34,True
l2,7.6712,40.4239,0.36,True
l2,8.0917,40.0817,0.38,True
l2,8.5116,39.0661,0.4,True
l2,8.9310,37.6973,0.42,True
l2,9.3486,36.2402,0.44,True
l2,9.7672,34.8162,0.46,True
l2,10.1826,33.0500,0.48,True
l2,10.6015,31.3942,0.5,True
l2,12.6766,24.6495,0.6,True
l2,14.7302,19.7594,0.7,True
l2,16.7783,16.5250,0.8,True
l2,18.7918,14.6374,0.9,True
l2,20.7347,13.1251,1.0,True
